verse_id,ayah_key,entity_id,mention_text,mention_type,confidence_score
449,3:156,24,يحيى,direct,1.00
450,3:157,1,الله,direct,1.00
451,3:158,1,الله,direct,1.00
452,3:159,1,الله,direct,1.00
453,3:160,1,الله,direct,1.00
454,3:161,107,يوم القيامة,direct,1.00
455,3:162,1,الله,direct,1.00
456,3:163,1,الله,direct,1.00
457,3:164,1,الله,direct,1.00
458,3:165,1,الله,direct,1.00
459,3:166,1,الله,direct,1.00
460,3:167,1,الله,direct,1.00
462,3:169,1,الله,direct,1.00
463,3:170,1,الله,direct,1.00
464,3:171,1,الله,direct,1.00
466,3:173,1,الله,direct,1.00
467,3:174,1,الله,direct,1.00
468,3:175,53,الشيطان,direct,1.00
469,3:176,1,الله,direct,1.00
470,3:177,1,الله,direct,1.00
472,3:179,1,الله,direct,1.00
473,3:180,1,الله,direct,1.00
473,3:180,107,يوم القيامة,direct,1.00
474,3:181,1,الله,direct,1.00
475,3:182,1,الله,direct,1.00
476,3:183,1,الله,direct,1.00
476,3:183,97,النار,direct,1.00
478,3:185,97,النار,direct,1.00
478,3:185,107,يوم القيامة,direct,1.00
480,3:187,1,الله,direct,1.00
484,3:191,1,الله,direct,1.00
484,3:191,97,النار,direct,1.00
485,3:192,97,النار,direct,1.00
487,3:194,107,يوم القيامة,direct,1.00
488,3:195,1,الله,direct,1.00
491,3:198,1,الله,direct,1.00
492,3:199,1,الله,direct,1.00
492,3:199,70,أهل الكتاب,direct,1.00
493,3:200,1,الله,direct,1.00
494,4:1,1,الله,direct,1.00
498,4:5,1,الله,direct,1.00
502,4:9,1,الله,direct,1.00
504,4:11,1,الله,direct,1.00
505,4:12,1,الله,direct,1.00
506,4:13,1,الله,direct,1.00
507,4:14,1,الله,direct,1.00
508,4:15,1,الله,direct,1.00
509,4:16,1,الله,direct,1.00
510,4:17,1,الله,direct,1.00
512,4:19,1,الله,direct,1.00
516,4:23,1,الله,direct,1.00
517,4:24,1,الله,direct,1.00
519,4:26,1,الله,direct,1.00
521,4:28,1,الله,direct,1.00
522,4:29,1,الله,direct,1.00
523,4:30,1,الله,direct,1.00
525,4:32,1,الله,direct,1.00
526,4:33,1,الله,direct,1.00
527,4:34,1,الله,direct,1.00
528,4:35,1,الله,direct,1.00
529,4:36,1,الله,direct,1.00
530,4:37,1,الله,direct,1.00
531,4:38,53,الشيطان,direct,1.00
532,4:39,1,الله,direct,1.00
533,4:40,1,الله,direct,1.00
535,4:42,1,الله,direct,1.00
536,4:43,1,الله,direct,1.00
536,4:43,161,أُحد,direct,1.00
539,4:46,1,الله,direct,1.00
540,4:47,1,الله,direct,1.00
540,4:47,174,أصحاب السبت,direct,1.00
541,4:48,1,الله,direct,1.00
542,4:49,1,الله,direct,1.00
543,4:50,1,الله,direct,1.00
545,4:52,1,الله,direct,1.00
547,4:54,1,الله,direct,1.00
547,4:54,7,إبراهيم,direct,1.00
549,4:56,1,الله,direct,1.00
551,4:58,1,الله,direct,1.00
552,4:59,1,الله,direct,1.00
553,4:60,53,الشيطان,direct,1.00
554,4:61,1,الله,direct,1.00
556,4:63,1,الله,direct,1.00
557,4:64,1,الله,direct,1.00
562,4:69,1,الله,direct,1.00
562,4:69,139,النبيين,direct,1.00
563,4:70,1,الله,direct,1.00
565,4:72,1,الله,direct,1.00
566,4:73,1,الله,direct,1.00
567,4:74,1,الله,direct,1.00
568,4:75,1,الله,direct,1.00
569,4:76,1,الله,direct,1.00
569,4:76,53,الشيطان,direct,1.00
570,4:77,1,الله,direct,1.00
571,4:78,1,الله,direct,1.00
572,4:79,1,الله,direct,1.00
573,4:80,1,الله,direct,1.00
574,4:81,1,الله,direct,1.00
575,4:82,1,الله,direct,1.00
575,4:82,80,القرآن,direct,1.00
576,4:83,1,الله,direct,1.00
576,4:83,53,الشيطان,direct,1.00
577,4:84,1,الله,direct,1.00
578,4:85,1,الله,direct,1.00
579,4:86,1,الله,direct,1.00
580,4:87,1,الله,direct,1.00
580,4:87,107,يوم القيامة,direct,1.00
581,4:88,1,الله,direct,1.00
582,4:89,1,الله,direct,1.00
583,4:90,1,الله,direct,1.00
585,4:92,1,الله,direct,1.00
586,4:93,1,الله,direct,1.00
587,4:94,1,الله,direct,1.00
588,4:95,1,الله,direct,1.00
589,4:96,1,الله,direct,1.00
590,4:97,1,الله,direct,1.00
590,4:97,51,الملائكة,direct,1.00
592,4:99,1,الله,direct,1.00
593,4:100,1,الله,direct,1.00
595,4:102,1,الله,direct,1.00
595,4:102,181,ودّ,direct,1.00
596,4:103,1,الله,direct,1.00
597,4:104,1,الله,direct,1.00
598,4:105,1,الله,direct,1.00
599,4:106,1,الله,direct,1.00
600,4:107,1,الله,direct,1.00
601,4:108,1,الله,direct,1.00
602,4:109,1,الله,direct,1.00
602,4:109,107,يوم القيامة,direct,1.00
603,4:110,1,الله,direct,1.00
604,4:111,1,الله,direct,1.00
606,4:113,1,الله,direct,1.00
607,4:114,1,الله,direct,1.00
609,4:116,1,الله,direct,1.00
611,4:118,1,الله,direct,1.00
612,4:119,1,الله,direct,1.00
612,4:119,53,الشيطان,direct,1.00
613,4:120,53,الشيطان,direct,1.00
615,4:122,1,الله,direct,1.00
616,4:123,1,الله,direct,1.00
616,4:123,70,أهل الكتاب,direct,1.00
618,4:125,1,الله,direct,1.00
618,4:125,7,إبراهيم,direct,1.00
619,4:126,1,الله,direct,1.00
620,4:127,1,الله,direct,1.00
621,4:128,1,الله,direct,1.00
622,4:129,1,الله,direct,1.00
623,4:130,1,الله,direct,1.00
624,4:131,1,الله,direct,1.00
626,4:133,1,الله,direct,1.00
627,4:134,1,الله,direct,1.00
628,4:135,1,الله,direct,1.00
630,4:137,1,الله,direct,1.00
633,4:140,1,الله,direct,1.00
634,4:141,1,الله,direct,1.00
634,4:141,107,يوم القيامة,direct,1.00
635,4:142,1,الله,direct,1.00
636,4:143,1,الله,direct,1.00
638,4:145,97,النار,direct,1.00
639,4:146,1,الله,direct,1.00
640,4:147,1,الله,direct,1.00
641,4:148,1,الله,direct,1.00
642,4:149,1,الله,direct,1.00
643,4:150,1,الله,direct,1.00
645,4:152,1,الله,direct,1.00
645,4:152,161,أُحد,direct,1.00
646,4:153,1,الله,direct,1.00
646,4:153,14,موسى,direct,1.00
646,4:153,70,أهل الكتاب,direct,1.00
646,4:153,115,العجل,direct,1.00
648,4:155,1,الله,direct,1.00
649,4:156,27,مريم,direct,1.00
650,4:157,1,الله,direct,1.00
650,4:157,25,عيسى,direct,1.00
650,4:157,27,مريم,direct,1.00
651,4:158,1,الله,direct,1.00
652,4:159,70,أهل الكتاب,direct,1.00
653,4:160,1,الله,direct,1.00
656,4:163,4,نوح,direct,1.00
656,4:163,7,إبراهيم,direct,1.00
657,4:164,1,الله,direct,1.00
657,4:164,14,موسى,direct,1.00
658,4:165,1,الله,direct,1.00
659,4:166,1,الله,direct,1.00
660,4:167,1,الله,direct,1.00
661,4:168,1,الله,direct,1.00
662,4:169,1,الله,direct,1.00
663,4:170,1,الله,direct,1.00
664,4:171,1,الله,direct,1.00
664,4:171,25,عيسى,direct,1.00
664,4:171,27,مريم,direct,1.00
664,4:171,70,أهل الكتاب,direct,1.00
665,4:172,51,الملائكة,direct,1.00
666,4:173,1,الله,direct,1.00
669,4:176,1,الله,direct,1.00
670,5:1,1,الله,direct,1.00
671,5:2,1,الله,direct,1.00
671,5:2,95,المسجد الحرام,direct,1.00
672,5:3,1,الله,direct,1.00
673,5:4,1,الله,direct,1.00
675,5:6,1,الله,direct,1.00
675,5:6,161,أُحد,direct,1.00
676,5:7,1,الله,direct,1.00
677,5:8,1,الله,direct,1.00
678,5:9,1,الله,direct,1.00
680,5:11,1,الله,direct,1.00
681,5:12,1,الله,direct,1.00
681,5:12,123,إسرائيل,direct,1.00
682,5:13,1,الله,direct,1.00
683,5:14,1,الله,direct,1.00
683,5:14,107,يوم القيامة,direct,1.00
684,5:15,1,الله,direct,1.00
684,5:15,70,أهل الكتاب,direct,1.00
685,5:16,1,الله,direct,1.00
686,5:17,1,الله,direct,1.00
686,5:17,27,مريم,direct,1.00
687,5:18,1,الله,direct,1.00
687,5:18,207,اليهود,direct,1.00
688,5:19,70,أهل الكتاب,direct,1.00
689,5:20,1,الله,direct,1.00
689,5:20,14,موسى,direct,1.00
690,5:21,1,الله,direct,1.00
691,5:22,14,موسى,direct,1.00
692,5:23,1,الله,direct,1.00
693,5:24,14,موسى,direct,1.00
696,5:27,1,الله,direct,1.00
696,5:27,2,آدم,direct,1.00
697,5:28,1,الله,direct,1.00
698,5:29,97,النار,direct,1.00
700,5:31,1,الله,direct,1.00
700,5:31,168,الغراب,direct,1.00
701,5:32,123,إسرائيل,direct,1.00
702,5:33,1,الله,direct,1.00
703,5:34,1,الله,direct,1.00
704,5:35,1,الله,direct,1.00
705,5:36,107,يوم القيامة,direct,1.00
706,5:37,97,النار,direct,1.00
707,5:38,1,الله,direct,1.00
708,5:39,1,الله,direct,1.00
709,5:40,1,الله,direct,1.00
710,5:41,1,الله,direct,1.00
711,5:42,1,الله,direct,1.00
712,5:43,1,الله,direct,1.00
712,5:43,81,التوراة,direct,1.00
713,5:44,1,الله,direct,1.00
713,5:44,81,التوراة,direct,1.00
714,5:45,1,الله,direct,1.00
715,5:46,27,مريم,direct,1.00
715,5:46,81,التوراة,direct,1.00
715,5:46,82,الإنجيل,direct,1.00
716,5:47,1,الله,direct,1.00
716,5:47,82,الإنجيل,direct,1.00
717,5:48,1,الله,direct,1.00
718,5:49,1,الله,direct,1.00
719,5:50,1,الله,direct,1.00
720,5:51,1,الله,direct,1.00
720,5:51,207,اليهود,direct,1.00
721,5:52,1,الله,direct,1.00
723,5:54,1,الله,direct,1.00
724,5:55,1,الله,direct,1.00
725,5:56,1,الله,direct,1.00
726,5:57,1,الله,direct,1.00
728,5:59,70,أهل الكتاب,direct,1.00
729,5:60,1,الله,direct,1.00
733,5:64,1,الله,direct,1.00
733,5:64,107,يوم القيامة,direct,1.00
733,5:64,207,اليهود,direct,1.00
734,5:65,70,أهل الكتاب,direct,1.00
735,5:66,81,التوراة,direct,1.00
736,5:67,1,الله,direct,1.00
737,5:68,70,أهل الكتاب,direct,1.00
737,5:68,81,التوراة,direct,1.00
739,5:70,123,إسرائيل,direct,1.00
740,5:71,1,الله,direct,1.00
741,5:72,1,الله,direct,1.00
741,5:72,27,مريم,direct,1.00
741,5:72,97,النار,direct,1.00
741,5:72,123,إسرائيل,direct,1.00
742,5:73,1,الله,direct,1.00
743,5:74,1,الله,direct,1.00
744,5:75,27,مريم,direct,1.00
745,5:76,1,الله,direct,1.00
746,5:77,70,أهل الكتاب,direct,1.00
747,5:78,27,مريم,direct,1.00
747,5:78,123,إسرائيل,direct,1.00
749,5:80,1,الله,direct,1.00
751,5:82,207,اليهود,direct,1.00
754,5:85,1,الله,direct,1.00
756,5:87,1,الله,direct,1.00
757,5:88,1,الله,direct,1.00
758,5:89,1,الله,direct,1.00
759,5:90,53,الشيطان,direct,1.00
760,5:91,1,الله,direct,1.00
760,5:91,53,الشيطان,direct,1.00
761,5:92,1,الله,direct,1.00
763,5:94,1,الله,direct,1.00
764,5:95,1,الله,direct,1.00
764,5:95,57,عاد,direct,1.00
764,5:95,90,الكعبة,direct,1.00
765,5:96,1,الله,direct,1.00
765,5:96,163,البحر,direct,1.00
766,5:97,1,الله,direct,1.00
766,5:97,90,الكعبة,direct,1.00
767,5:98,1,الله,direct,1.00
769,5:100,1,الله,direct,1.00
770,5:101,1,الله,direct,1.00
770,5:101,80,القرآن,direct,1.00
772,5:103,1,الله,direct,1.00
773,5:104,1,الله,direct,1.00
774,5:105,1,الله,direct,1.00
775,5:106,1,الله,direct,1.00
777,5:108,1,الله,direct,1.00
778,5:109,1,الله,direct,1.00
779,5:110,1,الله,direct,1.00
779,5:110,25,عيسى,direct,1.00
779,5:110,27,مريم,direct,1.00
779,5:110,123,إسرائيل,direct,1.00
779,5:110,146,الطير,direct,1.00
781,5:112,1,الله,direct,1.00
781,5:112,25,عيسى,direct,1.00
781,5:112,27,مريم,direct,1.00
781,5:112,76,الحواريون,direct,1.00
783,5:114,25,عيسى,direct,1.00
